year;area km²;consunit
2021;0,00;RESERVA EXTRATIVISTA MOGNO
2021;531,74;ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU
2021;29,52;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2021;3,02;FLORESTA NACIONAL DO CREPORI
2021;0,04;PARQUE ESTADUAL SERRA DOS REIS
2021;4,10;FLORESTA NACIONAL DE SARACÁ-TAQUERA
2021;0,18;RESERVA BIOLÓGICA DO GUAPORÉ
2021;0,04;RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO
2021;0,09;ÁREA DE PROTEÇÃO AMBIENTAL DE ALTER DO CHÃO
2021;8,73;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2021;11,13;RESERVA EXTRATIVISTA VERDE PARA SEMPRE
2021;1,94;FLORESTA ESTADUAL DE TAPAUÁ
2021;3,26;RESERVA EXTRATIVISTA ALTO JURUÁ
2021;0,07;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CANUMÃ
2021;0,08;ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO
2021;0,07;ÁREA DE PROTEÇÃO AMBIENTAL DAS CABECEIRAS DO RIO CUIABÁ
2021;3,84;FLORESTA NACIONAL DO ARIPUANÃ
2021;3,03;RESERVA EXTRATIVISTA RIO CAJARI
2021;4,73;"FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MADEIRA ""B"""
2021;0,14;RESERVA EXTRATIVISTA BAIXO RIO BRANCO JAUAPERI
2021;0,69;ÁREA DE PROTEÇÃO AMBIENTAL PAYTUNA
2021;0,11;FLORESTA NACIONAL DE JATUARANA
2021;4,69;RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA
2021;2,83;RESERVA EXTRATIVISTA RENASCER
2021;22,46;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2021;2,00;FLORESTA NACIONAL DO TRAIRÃO
2021;0,63;RESERVA EXTRATIVISTA TERRA GRANDE PRACUUBA
2021;0,09;AREA DE PROTECAO AMBIENTAL XERIUINI
2021;0,11;RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS
2021;1,39;RESERVA EXTRATIVISTA CATUÁ-IPIXUNA
2021;4,95;RESERVA BIOLÓGICA DO GURUPI
2021;0,07;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL CAMPO DAS MANGABAS
2021;0,54;ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR TARUMÃ AÇU-TARUMÃ MIRIMA
2021;0,27;FLORESTA NACIONAL DE TAPAJÓS
2021;0,07;RESERVA EXTRATIVISTA DO RIO UNINI
2021;107,09;RESERVA EXTRATIVISTA JACI-PARANÁ
2021;7,41;ESTAÇÃO ECOLÓGICA SAMUEL
2021;7,32;ÁREA DE PROTEÇÃO AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA
2021;0,01;PARQUE NACIONAL DOS CAMPOS FERRUGINOSOS
2021;0,40;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL UACARÍ
2021;0,87;PARQUE NACIONAL DA SERRA DO PARDO
2021;1,24;RESERVA BIOLÓGICA DO JARU
2021;0,11;ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ
2021;2,35;RESERVA EXTRATIVISTA ARAPIXI
2021;0,13;PARQUE ESTADUAL DO CANTãO
2021;0,20;ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ
2021;0,22;RESERVA EXTRATIVISTA IPÊ
2021;1,92;RESERVA EXTRATIVISTA DO MéDIO PURúS
2021;16,12;FLORESTA NACIONAL DE ITAITUBA II
2021;0,72;RESERVA EXTRATIVISTA DO RIO GREGÓRIO
2021;0,13;RESERVA EXTRATIVISTA MAPUÁ
2021;0,14;FLORESTA ESTADUAL MAÚES
2021;0,26;PARQUE ESTADUAL SERRA RICARDO FRANCO
2021;0,19;FLORESTA NACIONAL DE ITACAIUNAS
2021;0,07;FLORESTA NACIONAL DE PAU-ROSA
2021;3,95;PARQUE NACIONAL MAPINGUARI
2021;1,00;RESERVA EXTRATIVISTA BAIXO JURUÁ
2021;0,37;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO NEGRO
2021;35,57;FLORESTA NACIONAL ALTAMIRA
2021;11,37;RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT
2021;0,22;RESERVA EXTRATIVISTA MARINHA CUINARANA
